specialization,grade,topic,question_id,answer_quality_band,count
backend,junior,auth_jwt,be_junior_auth_jwt_001,empty,1
backend,junior,auth_jwt,be_junior_auth_jwt_001,good,1
backend,junior,auth_jwt,be_junior_auth_jwt_001,medium,1
backend,junior,auth_jwt,be_junior_auth_jwt_001,strong,1
backend,junior,auth_jwt,be_junior_auth_jwt_001,weak,1
backend,junior,auth_jwt,be_junior_auth_jwt_002,empty,1
backend,junior,auth_jwt,be_junior_auth_jwt_002,good,1
backend,junior,auth_jwt,be_junior_auth_jwt_002,medium,1
backend,junior,auth_jwt,be_junior_auth_jwt_002,strong,1
backend,junior,auth_jwt,be_junior_auth_jwt_002,weak,1
backend,junior,auth_jwt,be_junior_auth_jwt_003,empty,1
backend,junior,auth_jwt,be_junior_auth_jwt_003,good,1
backend,junior,auth_jwt,be_junior_auth_jwt_003,medium,1
backend,junior,auth_jwt,be_junior_auth_jwt_003,strong,1
backend,junior,auth_jwt,be_junior_auth_jwt_003,weak,1
backend,junior,auth_jwt,be_junior_auth_jwt_004,empty,1
backend,junior,auth_jwt,be_junior_auth_jwt_004,good,1
backend,junior,auth_jwt,be_junior_auth_jwt_004,medium,1
backend,junior,auth_jwt,be_junior_auth_jwt_004,strong,1
backend,junior,auth_jwt,be_junior_auth_jwt_004,weak,1
backend,junior,caching,be_junior_caching_001,empty,1
backend,junior,caching,be_junior_caching_001,good,1
backend,junior,caching,be_junior_caching_001,medium,1
backend,junior,caching,be_junior_caching_001,strong,1
backend,junior,caching,be_junior_caching_001,weak,1
backend,junior,caching,be_junior_caching_002,empty,1
backend,junior,caching,be_junior_caching_002,good,1
backend,junior,caching,be_junior_caching_002,medium,1
backend,junior,caching,be_junior_caching_002,strong,1
backend,junior,caching,be_junior_caching_002,weak,1
backend,junior,caching,be_junior_caching_003,empty,1
backend,junior,caching,be_junior_caching_003,good,1
backend,junior,caching,be_junior_caching_003,medium,1
backend,junior,caching,be_junior_caching_003,strong,1
backend,junior,caching,be_junior_caching_003,weak,1
backend,junior,caching,be_junior_caching_004,empty,1
backend,junior,caching,be_junior_caching_004,good,1
backend,junior,caching,be_junior_caching_004,medium,1
backend,junior,caching,be_junior_caching_004,strong,1
backend,junior,caching,be_junior_caching_004,weak,1
backend,junior,http_rest,be_junior_http_rest_001,empty,1
