group_id,question_id
be_junior_http_rest_001,be_junior_http_rest_001
be_junior_http_rest_002,be_junior_http_rest_002
be_junior_http_rest_003,be_junior_http_rest_003
be_junior_http_rest_004,be_junior_http_rest_004
be_junior_auth_jwt_001,be_junior_auth_jwt_001
be_junior_auth_jwt_002,be_junior_auth_jwt_002
be_junior_auth_jwt_003,be_junior_auth_jwt_003
be_junior_auth_jwt_004,be_junior_auth_jwt_004
be_junior_sql_indexes_001,be_junior_sql_indexes_001
be_junior_sql_indexes_002,be_junior_sql_indexes_002
be_junior_sql_indexes_003,be_junior_sql_indexes_003
be_junior_sql_indexes_004,be_junior_sql_indexes_004
be_junior_transactions_001,be_junior_transactions_001
be_junior_transactions_002,be_junior_transactions_002
be_junior_transactions_003,be_junior_transactions_003
be_junior_transactions_004,be_junior_transactions_004
be_junior_caching_001,be_junior_caching_001
be_junior_caching_002,be_junior_caching_002
be_junior_caching_003,be_junior_caching_003
be_junior_caching_004,be_junior_caching_004
be_middle_api_design_001,be_middle_api_design_001
be_middle_api_design_002,be_middle_api_design_002
be_middle_api_design_003,be_middle_api_design_003
be_middle_api_design_004,be_middle_api_design_004
be_middle_db_isolation_001,be_middle_db_isolation_001
be_middle_db_isolation_002,be_middle_db_isolation_002
be_middle_db_isolation_003,be_middle_db_isolation_003
be_middle_db_isolation_004,be_middle_db_isolation_004
be_middle_microservices_001,be_middle_microservices_001
be_middle_microservices_002,be_middle_microservices_002
be_middle_microservices_003,be_middle_microservices_003
be_middle_microservices_004,be_middle_microservices_004
be_middle_messaging_outbox_001,be_middle_messaging_outbox_001
be_middle_messaging_outbox_002,be_middle_messaging_outbox_002
be_middle_messaging_outbox_003,be_middle_messaging_outbox_003
be_middle_messaging_outbox_004,be_middle_messaging_outbox_004
be_middle_observability_001,be_middle_observability_001
be_middle_observability_002,be_middle_observability_002
be_middle_observability_003,be_middle_observability_003
be_middle_observability_004,be_middle_observability_004
fe_junior_html_css_001,fe_junior_html_css_001
fe_junior_html_css_002,fe_junior_html_css_002
fe_junior_html_css_003,fe_junior_html_css_003
fe_junior_html_css_004,fe_junior_html_css_004
fe_junior_javascript_core_001,fe_junior_javascript_core_001
fe_junior_javascript_core_002,fe_junior_javascript_core_002
fe_junior_javascript_core_003,fe_junior_javascript_core_003
